Name,Slide Number,Animal,Group,Sex,Section,Section-Slice,BrainArea,BrainAreaComp,Program,ROI,Name,Slide Number,Animal,Group,Sex,Section,Section-Slice,BrainArea,BrainAreaComp,Program,,ROI_1_Blank_Area,ROI_1_HScore_1,ROI_1_HScore_2,ROI_1_Heme_Area,ROI_1_MAP2_Area,ROI_1_Total_Area,Per_Heme,Per_Map,Ratio,Tissue_Gaps,Gap_Adj
4253_-_,4253,1912,S/H,F,α03,3,A1-3,A1,2024-04-01-Map2,ROI_1,4253_-_,4253,1912,S/H,F,α03,3,A1-3,2024-04-01-Map2,,TRUE,1302859.927,97.37836214,129.475183,974001.5777,9023287.779,11300149.28,9.742656664,90.25734334,0.107943091,11.52958155,13.03213182
1821.03P_-_,3368,1821,S/H,M,03P,3,A3,A3,2024-04-01-Map2,ROI_1,1821.03P_-_,3368,1821,S/H,M,03P,3,A3,2024-04-01-Map2,,TRUE,4784240.356,113.908631,129.8240519,3995128.667,33795962.28,42575331.3,10.57161507,89.42838493,0.118213195,11.23711833,12.65970428
4253_-_,4253,1912,S/H,F,α03,3,A1-3,A3,2024-03-11-Map2,ROI_3,4253_-_,4253,1912,S/H,F,α03,3,A1-3,2024-03-11-Map2,,TRUE,3646093.612,98.2980428,125.8457145,3831893.517,29154722.8,36632709.93,11.6165098,88.3834902,0.131433029,9.953109172,11.05325135
3023_-_,3023,1912,S/H,F,β03,3,A4-5,A4,2024-04-01-Map2,ROI_1,3023_-_,3023,1912,S/H,F,β03,3,A4-5,2024-04-01-Map2,,TRUE,3959533.749,102.5293545,136.2275152,5211716.235,36365468.39,45536718.37,12.53503882,87.46496118,0.143314976,8.69525493,9.523333013
4253_-_,4253,1912,S/H,F,α03,3,A1-3,A2,2024-03-11-Map2,ROI_2,4253_-_,4253,1912,S/H,F,α03,3,A1-3,2024-03-11-Map2,,TRUE,3050292.253,91.14562009,128.9241134,3256544.259,22280462.9,28587299.41,12.75225495,87.24774505,0.146161427,10.67009587,11.94459568
3023_-_,3023,1912,S/H,F,β03,3,A4-5,A5,2024-03-11-Map2,ROI_2,3023_-_,3023,1912,S/H,F,β03,3,A4-5,2024-03-11-Map2,,TRUE,3379998.054,91.36324761,133.8721396,4891747.205,30364782.55,38636527.8,13.87472686,86.12527314,0.161099366,8.748193087,9.58687108
3023_-_,3023,1912,S/H,F,β03,3,A4-5,A5,2024-04-01-Map2,ROI_3,3023_-_,3023,1912,S/H,F,β03,3,A4-5,2024-04-01-Map2,,TRUE,3067577.624,102.9194861,136.8192719,4235601.942,26055232.76,33358412.33,13.98311398,86.01688602,0.16256243,9.195814218,10.12708185
1821.03O_-_,3055,1821,S/H,M,03O,3,A3,A3,2024-04-01-Map2,ROI_3,1821.03O_-_,3055,1821,S/H,M,03O,3,A3,2024-04-01-Map2,,TRUE,7822164.029,99.51268956,136.2283335,4696222.851,23329695.68,35848082.56,16.75671342,83.24328658,0.201298076,21.82031359,27.91046445
1821.03O_-_,3055,1821,S/H,M,03O,3,A3,A3,2024-03-11-Map2,ROI_1,1821.03O_-_,3055,1821,S/H,M,03O,3,A3,2024-03-11-Map2,,TRUE,12359535.82,100.1291974,124.9963154,5463634.912,26102960.48,43926131.21,17.30828062,82.69171938,0.209310929,28.1370917,39.15384497
3023_-_,3023,1912,S/H,F,β03,3,A4-5,A5,2024-03-11-Map2,ROI_3,3023_-_,3023,1912,S/H,F,β03,3,A4-5,2024-03-11-Map2,,TRUE,3504949.867,99.94034484,132.1577091,5744927.557,24108534.9,33358412.33,19.24375628,80.75624372,0.238294346,10.50694449,11.74051376
Image_7354(1_2_3),7354,1960,S/H,F,α01,1,A1-3,A3,2024-03-11-Map2,ROI_3,Image_7354(1_2_3),7354,1960,S/H,F,α01,1,A1-3,2024-03-11-Map2,,TRUE,2424409.302,100.5446994,131.9364438,5914170.734,24807250.18,33145830.22,19.25096743,80.74903257,0.23840493,7.314371931,7.891592347
