Sample Number,Read Concentration (mg/ml),Read Concentration (ug/ml),Grp,Time,Sex,IL-18,IL-18-R2,IL-1b,IL-6,IL-10,TNF-a
9106,16.67146492,16671.46492,RV (P10),48 HR,F,11521.52814,9547.313957,,,,
9107,11.86848234,11868.48234,S/H,48 HR,M,20158.24884,,,,,
9108,12.71987311,12719.87311,Naïve,48 HR,F,16358.85513,12203.38943,,,,
9109,17.32618183,17326.18183,RV (P7),96 HR,F,14127.37197,,,,,
9110,16.28846846,16288.46846,Naïve,48 HR,M,13447.65045,,,,,
9111,13.02005952,13020.05952,Naïve,48 HR,M,17147.21465,,,,,
9112,13.66183736,13661.83736,Naïve,48 HR,F,16962.23644,,,,,
9113,17.68071234,17680.71234,L/H,24 HR,M,21464.84096,,,,,
9114,12.0236589,12023.6589,L/H,24 HR,M,16733.21579,13635.81441,,,,
9115,12.80467224,12804.67224,L/H,96 HR,M,15263.66668,,,,,
9116,14.06538203,14065.38203,L/H,96 HR,F,14955.36967,,,,,
9117,13.2843687,13284.3687,Naïve,96 HR,F,20219.42037,,,,,
9118,12.41657611,12416.57611,RV (P10),96 HR,M,15795.80062,,,,,
9119,14.38598319,14385.98319,L/H,48 HR,F,12498.3993,,,,,
9120,14.53784689,14537.84689,L/H,48 HR,M,11629.1703,,,,,
9121,15.31803825,15318.03825,S/H,24 HR,M,12403.91789,,,,,
,,,,,,,,,,,
9000,8.679054327,8679.054327,S/H,48 HR,M,12697.16164,,,,,
9001,8.824897978,8824.897978,RV (P7),48 HR,M,14729.94544,,,,,
9002,8.949472764,8949.472764,S/H,24 HR,M,20474.18158,,,,,
9003,7.870837428,7870.837428,S/H,24 HR,M,19957.87612,,,,,
9004,9.028471408,9028.471408,Naïve,96 HR,M,15332.75234,,,,,
9005,8.817301955,8817.301955,RV (P7),96 HR,M,16235.6111,,,,,
9006,7.486478639,7486.478639,RV (P10),24 HR,M,14170.38926,,,,,
9007,7.78728117,7787.28117,RV (P10),24 HR,F,13332.40658,,,,,
9008,7.966547324,7966.547324,RV (P10),24 HR,F,16311.29986,,,,,
9009,9.036067431,9036.067431,RV (P10),24 HR,M,14386.64286,,,,,
9010,9.283697797,9283.697797,RV (P7),96 HR,F,16395.09813,,,,,
9011,8.238484965,8238.484965,RV (P7),96 HR,F,13732.47573,,,,,
9012,7.946797663,7946.797663,RV (P7),96 HR,M,16878.96555,,,,,
9013,8.864397301,8864.397301,S/H,48 HR,M,13643.27112,,,,,
9014,10.16635573,10166.35573,Naïve,96 HR,M,13283.74952,,,,,
9015,8.151890297,8151.890297,Naïve,96 HR,F,12670.12994,,,,,
9016,7.094523827,7094.523827,RV (P7),24 HR,F,16197.76672,,,,,
9017,8.223292918,8223.292918,RV (P7),24 HR,F,14840.77541,,,,,
9018,7.691571274,7691.571274,RV (P7),24 HR,M,17319.58225,,,,,
9019,6.869681532,6869.681532,RV (P7),24 HR,M,17627.74363,,,,,
9020,8.180755186,8180.755186,RV (P7),24 HR,M,15405.73793,,,,,
9021,7.228213841,7228.213841,RV (P7),24 HR,F,16692.44682,,,,,
9022,8.396059487,8396.059487,S/H,48 HR,M,14897.54198,,,,,
9023,9.898662803,9898.662803,S/H,48 HR,F,12270.06079,,,,,
9024,9.112859007,9112.859007,S/H,48 HR,F,16146.4065,,,,,
9025,11.09285925,11092.85925,S/H,96 HR,M,12278.1703,,,,,
9026,11.81106702,11811.06702,S/H,96 HR,F,15046.21633,,,,,
9027,10.71122336,10711.22336,S/H,96 HR,F,14521.80136,,,,,
9028,9.624053949,9624.053949,RV (P7),48 HR,F,20357.94528,,,,,
9029,9.308605831,9308.605831,RV (P7),48 HR,F,13648.67746,,,,,
9030,10.36197723,10361.97723,Naïve,48 HR,M,14359.61116,,,,,
9031,11.19143679,11191.43679,Naïve,48 HR,F,14889.43247,,,,,
9032,10.20425317,10204.25317,Naïve,48 HR,F,15981.51313,,,,,
9033,9.870497792,9870.497792,RV (P7),48 HR,F,14008.19906,,,,,
9034,11.06891899,11068.91899,RV (P10),48 HR,M,17608.82144,,,,,
9035,9.390284361,9390.284361,RV (P10),48 HR,M,15613.88202,,,,,
9036,9.445206132,9445.206132,L/H,24 HR,M,18679.27674,,,,,
9037,10.35071122,10350.71122,L/H,24 HR,F,21006.70606,,,,,
9038,8.515760782,8515.760782,S/H,24 HR,F,15992.32581,,,,,
9039,9.853580975,9853.580975,S/H,24 HR,M,16638.02743,,,,,
9040,10.55394288,10553.94288,S/H,96 HR,F,19074.08713,,,,,
9041,11.90609572,11906.09572,S/H,96 HR,M,29088.5227,,,,,
