R0001,GFAP,0,25.07,,,Variant,Number,Sample,Time,,Class,Group,0,Average,0.1,0.2,0.3,0.4,0.5,0.6,Average,DeltaCq,DeltaDeltaCt,DeltaDeltaCt-SH,FoldChange,FoldChange-SH,,DeltaCqExp,DeltaCqExp,,FoldChange-N,FoldChange-SH,,,,,,,,,
R0008,IL-1B,0.3,33.82,,,0,7,R0007,48,L/H,L/H 48 HR,Treatment 2,28.31,28.31,33.57,34.3,34.65,,,,34.17333333,5.863333333,5.863333333,5.863333333,0.017177533,0.017177533,,0.017177533,0.017177533,,0.019150284,1.193314413,,,,,,,,,
R0009,GFAP,0,27.22,,,0.1,7,R0007,48,L/H,L/H 48 HR,Treatment 2,28.31,28.31,33.57,33.57,33.57,,,,33.57,5.26,5.26,5.26,0.026096497,0.026096497,,0.026096497,0.026096497,,0.029093545,1.812910301,,,,,,,,,
R0009,IL-1B,0.1,32.15,,,0.2,7,R0007,48,L/H,L/H 48 HR,Treatment 2,28.31,28.31,34.3,34.3,34.3,,,,34.3,5.99,5.99,5.99,0.01573368,0.01573368,,0.01573368,0.01573368,,0.017540612,1.093010716,,,,,,,,,
R0009,IL-1B,0.2,32.09,,,0.3,7,R0007,48,L/H,L/H 48 HR,Treatment 2,28.31,28.31,34.65,34.65,34.65,,,,34.65,6.34,6.34,6.34,0.012344395,0.012344395,,0.012344395,0.012344395,,0.013762085,0.857558827,,,,,,,,,
R0009,IL-1B,0.3,32.64,,,0.4,7,R0007,48,L/H,L/H 48 HR,Treatment 2,28.31,28.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0010,GFAP,0,26.96,,,0,8,R0008,48,L/H,L/H 48 HR,Treatment 2,27.5,27.5,33.57,34.15,33.82,,,,33.84666667,6.346666667,6.346666667,6.346666667,0.012287484,0.012287484,,0.012287484,0.012287484,,0.013698638,0.853605205,,,,,,,,,
R0010,IL-1B,0.1,34.09,,,0.1,8,R0008,48,L/H,L/H 48 HR,Treatment 2,27.5,27.5,33.57,33.57,33.57,,,,33.57,6.07,6.07,6.07,0.014884969,0.014884969,,0.014884969,0.014884969,,0.01659443,1.034051146,,,,,,,,,
R0010,IL-1B,0.2,34.26,,,0.2,8,R0008,48,L/H,L/H 48 HR,Treatment 2,27.5,27.5,34.15,34.15,34.15,,,,34.15,6.65,6.65,6.65,0.009957505,0.009957505,,0.009957505,0.009957505,,0.011101073,0.691742761,,,,,,,,,
R0010,IL-1B,0.3,34.13,,,0.3,8,R0008,48,L/H,L/H 48 HR,Treatment 2,27.5,27.5,33.82,33.82,33.82,,,,33.82,6.32,6.32,6.32,0.012516717,0.012516717,,0.012516717,0.012516717,,0.013954197,0.869529902,,,,,,,,,
R0011,GFAP,0,27.43,,,0.4,8,R0008,48,L/H,L/H 48 HR,Treatment 2,27.5,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0011,IL-1B,0.1,34.17,,,0,9,R0009,48,L/H,L/H 48 HR,Treatment 2,27.22,27.22,32.15,32.09,32.64,,,,32.29333333,5.073333333,5.073333333,5.073333333,0.029701234,0.029701234,,0.029701234,0.029701234,,0.033112267,2.063329477,,,,,,,,,
R0011,IL-1B,0.2,34.57,,,0.1,9,R0009,48,L/H,L/H 48 HR,Treatment 2,27.22,27.22,32.15,32.15,32.15,,,,32.15,4.93,4.93,4.93,0.032803646,0.032803646,,0.032803646,0.032803646,,0.036570975,2.278852495,,,,,,,,,
R0011,IL-1B,0.3,34.51,,,0.2,9,R0009,48,L/H,L/H 48 HR,Treatment 2,27.22,27.22,32.09,32.09,32.09,,,,32.09,4.87,4.87,4.87,0.034196678,0.034196678,,0.034196678,0.034196678,,0.03812399,2.375625701,,,,,,,,,
R0012,GFAP,0,27.99,,,0.3,9,R0009,48,L/H,L/H 48 HR,Treatment 2,27.22,27.22,32.64,32.64,32.64,,,,32.64,5.42,5.42,5.42,0.02335702,0.02335702,,0.02335702,0.02335702,,0.026039452,1.622600171,,,,,,,,,
R0012,IL-1B,0.1,33.03,,,0.4,9,R0009,48,L/H,L/H 48 HR,Treatment 2,27.22,27.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0012,IL-1B,0.2,34.06,,,0,10,R0010,96,L/H,L/H 96 HR,Treatment 3,26.96,26.96,34.09,34.26,34.13,,,,34.16,7.2,7.2,7.2,0.006801176,0.006801176,,0.006801176,0.006801176,,0.006002196,0.295770418,,,,,,,,,
R0012,IL-1B,0.3,34.04,,,0.1,10,R0010,96,L/H,L/H 96 HR,Treatment 3,26.96,26.96,34.09,34.09,34.09,,,,34.09,7.13,7.13,7.13,0.007139308,0.007139308,,0.007139308,0.007139308,,0.006300606,0.310475142,,,,,,,,,
R0013,GFAP,0,28.14,,,0.2,10,R0010,96,L/H,L/H 96 HR,Treatment 3,26.96,26.96,34.26,34.26,34.26,,,,34.26,7.3,7.3,7.3,0.006345722,0.006345722,,0.006345722,0.006345722,,0.005600247,0.275963558,,,,,,,,,
R0013,IL-1B,0.1,33.38,,,0.3,10,R0010,96,L/H,L/H 96 HR,Treatment 3,26.96,26.96,34.13,34.13,34.13,,,,34.13,7.17,7.17,7.17,0.006944083,0.006944083,,0.006944083,0.006944083,,0.006128315,0.301985183,,,,,,,,,
R0013,IL-1B,0.2,33.72,,,0.4,10,R0010,96,L/H,L/H 96 HR,Treatment 3,26.96,26.96,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0013,IL-1B,0.3,33.92,,,0,11,R0011,96,L/H,L/H 96 HR,Treatment 3,27.43,27.43,34.17,34.57,34.51,,,,34.41666667,6.986666667,6.986666667,6.986666667,0.007885038,0.007885038,,0.007885038,0.007885038,,0.006958729,0.342905513,,,,,,,,,
R0014,GFAP,0,27.84,,,0.1,11,R0011,96,L/H,L/H 96 HR,Treatment 3,27.43,27.43,34.17,34.17,34.17,,,,34.17,6.74,6.74,6.74,0.009355302,0.009355302,,0.009355302,0.009355302,,0.008256272,0.406844578,,,,,,,,,
R0014,IL-1B,0.1,34.47,,,0.2,11,R0011,96,L/H,L/H 96 HR,Treatment 3,27.43,27.43,34.57,34.57,34.57,,,,34.57,7.14,7.14,7.14,0.007089993,0.007089993,,0.007089993,0.007089993,,0.006257084,0.308330534,,,,,,,,,
R0014,IL-1B,0.2,35.61,,,0.3,11,R0011,96,L/H,L/H 96 HR,Treatment 3,27.43,27.43,34.51,34.51,34.51,,,,34.51,7.08,7.08,7.08,0.007391075,0.007391075,,0.007391075,0.007391075,,0.006522796,0.321424025,,,,,,,,,
R0014,IL-1B,0.3,34.68,,,0.4,11,R0011,96,L/H,L/H 96 HR,Treatment 3,27.43,27.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0015,GFAP,0,28.28,,,0,12,R0012,48,S/H,S/H 48 HR,Treatment 2,27.99,27.99,33.03,34.06,34.04,,,,33.71,5.72,5.72,5.72,0.018971795,0.018971795,,0.018971795,0.018971795,,0.021150607,1.317960877,,,,,,,,,
R0015,IL-1B,0.1,33.94,,,0.1,12,R0012,48,S/H,S/H 48 HR,Treatment 2,27.99,27.99,33.03,33.03,33.03,,,,33.03,5.04,5.04,5.04,0.030395467,0.030395467,,0.030395467,0.030395467,,0.033886229,2.111557517,,,,,,,,,
R0015,IL-1B,0.2,34.46,,,0.2,12,R0012,48,S/H,S/H 48 HR,Treatment 2,27.99,27.99,34.06,34.06,34.06,,,,34.06,6.07,6.07,6.07,0.014884969,0.014884969,,0.014884969,0.014884969,,0.01659443,1.034051146,,,,,,,,,
R0015,IL-1B,0.3,34.2,,,0.3,12,R0012,48,S/H,S/H 48 HR,Treatment 2,27.99,27.99,34.04,34.04,34.04,,,,34.04,6.05,6.05,6.05,0.015092755,0.015092755,,0.015092755,0.015092755,,0.01682608,1.048485962,,,,,,,,,
R0016,GFAP,0,28.47,,,0.4,12,R0012,48,S/H,S/H 48 HR,Treatment 2,27.99,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0016,IL-1B,0.1,35.54,,,0,13,R0013,48,S/H,S/H 48 HR,Treatment 2,28.14,28.14,33.38,33.72,33.92,,,,33.67333333,5.533333333,5.533333333,5.533333333,0.021592389,0.021592389,,0.021592389,0.021592389,,0.024072163,1.500012177,,,,,,,,,
R0016,IL-1B,0.2,35.06,,,0.1,13,R0013,48,S/H,S/H 48 HR,Treatment 2,28.14,28.14,33.38,33.38,33.38,,,,33.38,5.24,5.24,5.24,0.026460791,0.026460791,,0.026460791,0.026460791,,0.029499676,1.838217586,,,,,,,,,
R0016,IL-1B,0.3,35.12,,,0.2,13,R0013,48,S/H,S/H 48 HR,Treatment 2,28.14,28.14,33.72,33.72,33.72,,,,33.72,5.58,5.58,5.58,0.020905118,0.020905118,,0.020905118,0.020905118,,0.023305963,1.452267833,,,,,,,,,
R0017,GFAP,0,26.26,,,0.3,13,R0013,48,S/H,S/H 48 HR,Treatment 2,28.14,28.14,33.92,33.92,33.92,,,,33.92,5.78,5.78,5.78,0.018198962,0.018198962,,0.018198962,0.018198962,,0.020289019,1.26427258,,,,,,,,,
R0017,IL-1B,0.1,34.39,,,0.4,13,R0013,48,S/H,S/H 48 HR,Treatment 2,28.14,28.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0017,IL-1B,0.2,34.07,,,0,14,R0014,96,S/H,S/H 96 HR,Treatment 3,27.84,27.84,34.47,35.61,34.68,,,,34.92,7.08,7.08,7.08,0.007391075,0.007391075,,0.007391075,0.007391075,,0.006522796,0.321424025,,,,,,,,,
R0017,IL-1B,0.3,34.28,,,0.1,14,R0014,96,S/H,S/H 96 HR,Treatment 3,27.84,27.84,34.47,34.47,34.47,,,,34.47,6.63,6.63,6.63,0.010096506,0.010096506,,0.010096506,0.010096506,,0.008910402,0.439078157,,,,,,,,,
R0018,GFAP,0,28.81,,,0.2,14,R0014,96,S/H,S/H 96 HR,Treatment 3,27.84,27.84,35.61,35.61,35.61,,,,35.61,7.77,7.77,7.77,0.004581387,0.004581387,,0.004581387,0.004581387,,0.00404318,0.199235919,,,,,,,,,
R0018,IL-1B,0.1,33.85,,,0.3,14,R0014,96,S/H,S/H 96 HR,Treatment 3,27.84,27.84,34.68,34.68,34.68,,,,34.68,6.84,6.84,6.84,0.008728806,0.008728806,,0.008728806,0.008728806,,0.007703374,0.379599414,,,,,,,,,
R0018,IL-1B,0.2,35.04,,,0.4,14,R0014,96,S/H,S/H 96 HR,Treatment 3,27.84,27.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0018,IL-1B,0.3,34.17,,,0,15,R0015,96,S/H,S/H 96 HR,Treatment 3,28.28,28.28,33.94,34.46,34.2,,,,34.2,5.92,5.92,5.92,0.016515907,0.016515907,,0.016515907,0.016515907,,0.014575672,0.718245857,,,,,,,,,
R0019,GFAP,0,26.92,,,0.1,15,R0015,96,S/H,S/H 96 HR,Treatment 3,28.28,28.28,33.94,33.94,33.94,,,,33.94,5.66,5.66,5.66,0.019777447,0.019777447,,0.019777447,0.019777447,,0.017454057,0.860084118,,,,,,,,,
R0019,IL-1B,0.1,35.46,,,0.2,15,R0015,96,S/H,S/H 96 HR,Treatment 3,28.28,28.28,34.46,34.46,34.46,,,,34.46,6.18,6.18,6.18,0.013792234,0.013792234,,0.013792234,0.013792234,,0.012171968,0.599798438,,,,,,,,,
R0019,IL-1B,0.2,34.44,,,0.3,15,R0015,96,S/H,S/H 96 HR,Treatment 3,28.28,28.28,34.2,34.2,34.2,,,,34.2,5.92,5.92,5.92,0.016515907,0.016515907,,0.016515907,0.016515907,,0.014575672,0.718245857,,,,,,,,,
R0019,IL-1B,0.3,34.2,,,0.4,15,R0015,96,S/H,S/H 96 HR,Treatment 3,28.28,28.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
