R0001,GFAP,0,25.07,,,Variant,Number,Sample,Time,,Class,Group,0,Average,0.1,0.2,0.3,0.4,0.5,0.6,Average,DeltaCq,DeltaDeltaCt,DeltaDeltaCt-SH,FoldChange,FoldChange-SH,,DeltaCqExp,DeltaCqExp,,FoldChange-N,FoldChange-SH,,,,,,,,,
R0055,GFAP,0,29.14,,,0.1,44,R0044,96,N,N 96 HR,Control 3,27.44,27.44,34.03,34.03,34.03,,,,34.03,6.59,6.59,6.59,0.010380358,0.010380358,,0.010380358,0.010380358,,0.009160908,0.451422324,,,,,,,,,
R0055,IL-1B,0.1,35.82,,,0.2,44,R0044,96,N,N 96 HR,Control 3,27.44,27.44,35.02,35.02,35.02,,,,35.02,7.58,7.58,7.58,0.00522628,0.00522628,,0.00522628,0.00522628,,0.004612313,0.227281107,,,,,,,,,
R0055,IL-1B,0.2,35.26,,,0.3,44,R0044,96,N,N 96 HR,Control 3,27.44,27.44,35.02,35.02,35.02,,,,35.02,7.58,7.58,7.58,0.00522628,0.00522628,,0.00522628,0.00522628,,0.004612313,0.227281107,,,,,,,,,
R0055,IL-1B,0.3,35.34,,,0.4,44,R0044,96,N,N 96 HR,Control 3,27.44,27.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0056,GFAP,0,26.89,,,0,45,R0045,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.82,27.82,34.09,34.08,34.78,,,,34.31666667,6.496666667,6.496666667,6.496666667,0.011074101,0.011074101,,0.011074101,0.011074101,,0.009773152,0.481591891,,,,,,,,,
R0056,IL-1B,0.1,34.07,,,0.1,45,R0045,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.82,27.82,34.09,34.09,34.09,,,,34.09,6.27,6.27,6.27,0.012958118,0.012958118,,0.012958118,0.012958118,,0.011435841,0.563524278,,,,,,,,,
R0056,IL-1B,0.2,33.43,,,0.2,45,R0045,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.82,27.82,34.08,34.08,34.08,,,,34.08,6.26,6.26,6.26,0.013048249,0.013048249,,0.013048249,0.013048249,,0.011515383,0.567443899,,,,,,,,,
R0056,IL-1B,0.3,33.69,,,0.3,45,R0045,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.82,27.82,34.78,34.78,34.78,,,,34.78,6.96,6.96,6.96,0.008032139,0.008032139,,0.008032139,0.008032139,,0.00708855,0.349302693,,,,,,,,,
R0057,GFAP,0,28.46,,,0.4,45,R0045,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.82,27.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0057,IL-1B,0.1,34.77,,,0,46,R0046,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,29.9,29.9,34.8,33.76,34.4,,,,34.32,4.42,4.42,4.42,0.046714039,0.046714039,,0.046714039,0.046714039,,0.041226227,2.031506064,,,,,,,,,
R0057,IL-1B,0.2,34.69,,,0.1,46,R0046,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,29.9,29.9,34.8,34.8,34.8,,,,34.8,4.9,4.9,4.9,0.033492921,0.033492921,,0.033492921,0.033492921,,0.029558282,1.456544391,,,,,,,,,
R0057,IL-1B,0.3,35.12,,,0.2,46,R0046,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,29.9,29.9,33.76,33.76,33.76,,,,33.76,3.86,3.86,3.86,0.06886907,0.06886907,,0.06886907,0.06886907,,0.060778558,2.994986855,,,,,,,,,
R0058,GFAP,0,28.19,,,0.3,46,R0046,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,29.9,29.9,34.4,34.4,34.4,,,,34.4,4.5,4.5,4.5,0.044194174,0.044194174,,0.044194174,0.044194174,,0.039002388,1.921921846,,,,,,,,,
R0058,IL-1B,0.1,34.33,,,0.4,46,R0046,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,29.9,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0058,IL-1B,0.2,35.27,,,0,47,R0047,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,28.31,28.31,34.93,34.8,35.07,,,,34.93333333,6.623333333,6.282223667,6.322234808,0.01284879,0.012497343,,0.01014327,0.01014327,,0.979594168,0.857424014,,,,,,,,,
R0058,IL-1B,0.3,35,,,0.1,47,R0047,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,28.31,28.31,34.93,34.93,34.93,,,,34.93,6.62,6.278890333,6.318901475,0.012878512,0.012526251,,0.010166733,0.010166733,,0.981860128,0.859407375,,,,,,,,,
R0059,GFAP,0,27.52,,,0.2,47,R0047,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,28.31,28.31,34.8,34.8,34.8,,,,34.8,6.49,6.148890333,6.188901475,0.014092874,0.013707398,,0.011125392,0.011125392,,1.074443353,0.940444077,,,,,,,,,
R0059,IL-1B,0.1,33.82,,,0.3,47,R0047,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,28.31,28.31,35.07,35.07,35.07,,,,35.07,6.76,6.418890333,6.458901475,0.011687496,0.011367813,,0.009226505,0.009226505,,0.891056874,0.779928655,,,,,,,,,
R0059,IL-1B,0.2,34.37,,,0.4,47,R0047,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,28.31,28.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0059,IL-1B,0.3,34.11,,,0,48,R0048,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,26.09,26.09,33.95,34.45,34.18,,,,34.19333333,8.103333333,7.762223667,7.802234808,0.004606148,0.004480158,,0.003636249,0.003636249,,0.351173549,0.307376916,,,,,,,,,
R0060,GFAP,0,27.43,,,0.1,48,R0048,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,26.09,26.09,33.95,33.95,33.95,,,,33.95,7.86,7.518890333,7.558901475,0.00545241,0.005303272,,0.004304317,0.004304317,,0.41569273,0.363849583,,,,,,,,,
R0060,IL-1B,0.1,33.79,,,0.2,48,R0048,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,26.09,26.09,34.45,34.45,34.45,,,,34.45,8.36,8.018890333,8.058901475,0.003855436,0.00374998,,0.003043612,0.003043612,,0.293939148,0.257280508,,,,,,,,,
R0060,IL-1B,0.2,34.54,,,0.3,48,R0048,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,26.09,26.09,34.18,34.18,34.18,,,,34.18,8.09,7.748890333,7.788901475,0.004648915,0.004521755,,0.003670011,0.003670011,,0.354434126,0.31023085,,,,,,,,,
R0060,IL-1B,0.3,34.1,,,0.4,48,R0048,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,26.09,26.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0061,GFAP,0,25.89,,,0,49,R0049,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,30.57,30.57,34.94,34.91,34.55,,,,34.8,4.23,3.888890333,3.928901475,0.067503666,0.065657268,,0.053289681,0.053289681,,5.14649214,4.504647021,,,,,,,,,
R0061,IL-1B,0.1,32.73,,,0.1,49,R0049,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,30.57,30.57,34.94,34.94,34.94,,,,34.94,4.37,4.028890333,4.068901475,0.06126087,0.059585228,,0.048361406,0.048361406,,4.670540199,4.08805346,,,,,,,,,
R0061,IL-1B,0.2,32.57,,,0.2,49,R0049,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,30.57,30.57,34.91,34.91,34.91,,,,34.91,4.34,3.998890333,4.038901475,0.062548091,0.06083724,,0.049377582,0.049377582,,4.768678177,4.173952153,,,,,,,,,
R0061,IL-1B,0.3,32.87,,,0.3,49,R0049,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,30.57,30.57,34.55,34.55,34.55,,,,34.55,3.98,3.638890333,3.678901475,0.08027584,0.07808009,,0.063372467,0.063372467,,6.12024507,5.356958288,,,,,,,,,
R0062,GFAP,0,27.7,,,0.4,49,R0049,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,30.57,30.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0062,IL-1B,0.1,34.22,,,0,50,R0050,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,28.89,28.89,35.26,35.58,35.86,,,,35.56666667,6.676666667,6.335557,6.375568142,0.012382471,0.012043778,,0.009775142,0.009775142,,0.944041873,0.826305626,,,,,,,,,
R0062,IL-1B,0.2,34.65,,,0.1,50,R0050,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,28.89,28.89,35.26,35.26,35.26,,,,35.26,6.37,6.028890333,6.068901475,0.015315218,0.014896307,,0.012090352,0.012090352,,1.16763505,1.022013365,,,,,,,,,
R0062,IL-1B,0.3,34.6,,,0.2,50,R0050,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,28.89,28.89,35.58,35.58,35.58,,,,35.58,6.69,6.348890333,6.388901475,0.012268559,0.011932983,,0.009685216,0.009685216,,0.935357266,0.818704121,,,,,,,,,
R0063,GFAP,0,27.13,,,0.3,50,R0050,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,28.89,28.89,35.86,35.86,35.86,,,,35.86,6.97,6.628890333,6.668901475,0.010104275,0.009827897,,0.007976657,0.007976657,,0.770351843,0.67427736,,,,,,,,,
R0063,IL-1B,0.1,35.32,,,0.4,50,R0050,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,28.89,28.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0063,IL-1B,0.2,36.03,,,0,51,R0051,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,27.65,27.65,35.31,35.13,35.94,,,,35.46,7.81,7.468890333,7.508901475,0.005644688,0.005490292,,0.004456108,0.004456108,,0.430352103,0.376680711,,,,,,,,,
R0063,IL-1B,0.3,34.88,,,0.1,51,R0051,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,27.65,27.65,35.31,35.31,35.31,,,,35.31,7.66,7.318890333,7.358901475,0.006263174,0.00609186,,0.004944362,0.004944362,,0.477505555,0.417953418,,,,,,,,,
R0064,GFAP,0,27.61,,,0.2,51,R0051,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,27.65,27.65,35.13,35.13,35.13,,,,35.13,7.48,7.138890333,7.178901475,0.007095449,0.00690137,,0.005601388,0.005601388,,0.540958349,0.473492692,,,,,,,,,
R0064,IL-1B,0.1,33.08,,,0.3,51,R0051,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,27.65,27.65,35.94,35.94,35.94,,,,35.94,8.29,7.948890333,7.988901475,0.004047115,0.003936416,,0.00319493,0.00319493,,0.308552828,0.270071641,,,,,,,,,
R0064,IL-1B,0.2,32.71,,,0.4,51,R0051,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,27.65,27.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0064,IL-1B,0.3,33.24,,,0,52,R0052,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,30.33,30.33,35.28,35.03,34.68,,,,34.99666667,4.666666667,4.325557,4.365568142,0.04987439,0.048510197,,0.039372533,0.039372533,,3.802432813,3.328212145,,,,,,,,,
R0065,GFAP,0,27.35,,,0.1,52,R0052,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,30.33,30.33,35.28,35.28,35.28,,,,35.28,4.95,4.608890333,4.648901475,0.040981303,0.039860359,,0.032352029,0.032352029,,3.124422214,2.734759685,,,,,,,,,
R0065,IL-1B,0.1,33.77,,,0.2,52,R0052,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,30.33,30.33,35.03,35.03,35.03,,,,35.03,4.7,4.358890333,4.398901475,0.048735257,0.047402223,,0.038473263,0.038473263,,3.715585127,3.252195675,,,,,,,,,
R0065,IL-1B,0.2,33.83,,,0.3,52,R0052,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,30.33,30.33,34.68,34.68,34.68,,,,34.68,4.35,4.008890333,4.048901475,0.06211604,0.060417007,,0.049036506,0.049036506,,4.735738511,4.145120559,,,,,,,,,
R0065,IL-1B,0.3,34.04,,,0.4,52,R0052,24,RV (P7) ,RV (P7) 24 HR,Treatment 1,30.33,30.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0066,GFAP,0,27.19,,,0,53,R0053,96,RV (P10),RV (P10) 96 HR,Treatment 3,28.41,28.41,35.12,34.47,35.86,,,,35.15,6.74,6.74,6.74,0.009355302,0.009355302,,0.009355302,0.009355302,,0.008256272,0.406844578,,,,,,,,,
R0066,IL-1B,0.1,34.1,,,0.1,53,R0053,96,RV (P10),RV (P10) 96 HR,Treatment 3,28.41,28.41,35.12,35.12,35.12,,,,35.12,6.71,6.71,6.71,0.009551877,0.009551877,,0.009551877,0.009551877,,0.008429754,0.415393248,,,,,,,,,
R0066,IL-1B,0.2,34.09,,,0.2,53,R0053,96,RV (P10),RV (P10) 96 HR,Treatment 3,28.41,28.41,34.47,34.47,34.47,,,,34.47,6.06,6.06,6.06,0.014988502,0.014988502,,0.014988502,0.014988502,,0.013227702,0.651821873,,,,,,,,,
R0066,IL-1B,0.3,33.38,,,0.3,53,R0053,96,RV (P10),RV (P10) 96 HR,Treatment 3,28.41,28.41,35.86,35.86,35.86,,,,35.86,7.45,7.45,7.45,0.005719085,0.005719085,,0.005719085,0.005719085,,0.005047225,0.248712284,,,,,,,,,
R0067,GFAP,0,27.2,,,0.4,53,R0053,96,RV (P10),RV (P10) 96 HR,Treatment 3,28.41,28.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0067,IL-1B,0.1,33.85,,,0,54,R0054,96,RV (P10),RV (P10) 96 HR,Treatment 3,26.53,26.53,34.81,34.29,34.55,,,,34.55,8.02,8.02,8.02,0.003852472,0.003852472,,0.003852472,0.003852472,,0.003399896,0.16753677,,,,,,,,,
R0067,IL-1B,0.2,33.36,,,0.1,54,R0054,96,RV (P10),RV (P10) 96 HR,Treatment 3,26.53,26.53,34.81,34.81,34.81,,,,34.81,8.28,8.28,8.28,0.003217152,0.003217152,,0.003217152,0.003217152,,0.002839212,0.139907933,,,,,,,,,
R0067,IL-1B,0.3,34.17,,,0.2,54,R0054,96,RV (P10),RV (P10) 96 HR,Treatment 3,26.53,26.53,34.29,34.29,34.29,,,,34.29,7.76,7.76,7.76,0.004613253,0.004613253,,0.004613253,0.004613253,,0.004071303,0.200621714,,,,,,,,,
R0068,GFAP,0,28.09,,,0.3,54,R0054,96,RV (P10),RV (P10) 96 HR,Treatment 3,26.53,26.53,34.55,34.55,34.55,,,,34.55,8.02,8.02,8.02,0.003852472,0.003852472,,0.003852472,0.003852472,,0.003399896,0.16753677,,,,,,,,,
R0068,IL-1B,0.1,33.73,,,0.4,54,R0054,96,RV (P10),RV (P10) 96 HR,Treatment 3,26.53,26.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0068,IL-1B,0.2,34.31,,,0,55,R0055,96,RV (P10),RV (P10) 96 HR,Treatment 3,29.14,29.14,35.82,35.26,35.34,,,,35.47333333,6.333333333,6.333333333,6.333333333,0.012401571,0.012401571,,0.012401571,0.012401571,,0.010944675,0.539321083,,,,,,,,,
R0068,IL-1B,0.3,34.14,,,0.1,55,R0055,96,RV (P10),RV (P10) 96 HR,Treatment 3,29.14,29.14,35.82,35.82,35.82,,,,35.82,6.68,6.68,6.68,0.009752582,0.009752582,,0.009752582,0.009752582,,0.008606881,0.424121543,,,,,,,,,
R0069,GFAP,0,27.09,,,0.2,55,R0055,96,RV (P10),RV (P10) 96 HR,Treatment 3,29.14,29.14,35.26,35.26,35.26,,,,35.26,6.12,6.12,6.12,0.014377932,0.014377932,,0.014377932,0.014377932,,0.01268886,0.625269335,,,,,,,,,
R0069,IL-1B,0.1,33.4,,,0.3,55,R0055,96,RV (P10),RV (P10) 96 HR,Treatment 3,29.14,29.14,35.34,35.34,35.34,,,,35.34,6.2,6.2,6.2,0.013602353,0.013602353,,0.013602353,0.013602353,,0.012004393,0.591540836,,,,,,,,,
R0069,IL-1B,0.2,33.92,,,0.4,55,R0055,96,RV (P10),RV (P10) 96 HR,Treatment 3,29.14,29.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0069,IL-1B,0.3,34.34,,,0,56,R0056,96,RV (P10),RV (P10) 96 HR,Treatment 3,26.89,26.89,34.07,33.43,33.69,,,,33.73,6.84,6.84,6.84,0.008728806,0.008728806,,0.008728806,0.008728806,,0.007703374,0.379599414,,,,,,,,,
R0070,GFAP,0,27.56,,,0.1,56,R0056,96,RV (P10),RV (P10) 96 HR,Treatment 3,26.89,26.89,34.07,34.07,34.07,,,,34.07,7.18,7.18,7.18,0.006896117,0.006896117,,0.006896117,0.006896117,,0.006085984,0.299899219,,,,,,,,,
R0070,IL-1B,0.1,34.78,,,0.2,56,R0056,96,RV (P10),RV (P10) 96 HR,Treatment 3,26.89,26.89,33.43,33.43,33.43,,,,33.43,6.54,6.54,6.54,0.01074642,0.01074642,,0.01074642,0.01074642,,0.009483966,0.467341698,,,,,,,,,
R0070,IL-1B,0.2,35.8,,,0.3,56,R0056,96,RV (P10),RV (P10) 96 HR,Treatment 3,26.89,26.89,33.69,33.69,33.69,,,,33.69,6.8,6.8,6.8,0.008974206,0.008974206,,0.008974206,0.008974206,,0.007919946,0.390271406,,,,,,,,,
R0070,IL-1B,0.3,35.43,,,0.4,56,R0056,96,RV (P10),RV (P10) 96 HR,Treatment 3,26.89,26.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0071,GFAP,0,26.61,,,0,57,R0057,24,S/H,S/H 24 HR,Treatment 1,28.46,28.46,34.77,34.69,35.12,,,,34.86,6.4,6.058890333,6.098901475,0.015000035,0.014589745,,0.011841536,0.011841536,,1.143605468,1.000980634,,,,,,,,,
R0071,IL-1B,0.1,34.57,,,0.1,57,R0057,24,S/H,S/H 24 HR,Treatment 1,28.46,28.46,34.77,34.77,34.77,,,,34.77,6.31,5.968890333,6.008901475,0.01596559,0.01552889,,0.012603777,0.012603777,,1.217219561,1.06541394,,,,,,,,,
R0071,IL-1B,0.2,34.67,,,0.2,57,R0057,24,S/H,S/H 24 HR,Treatment 1,28.46,28.46,34.69,34.69,34.69,,,,34.69,6.23,5.888890333,5.928901475,0.016875917,0.016414317,,0.01332242,0.01332242,,1.286623035,1.126161755,,,,,,,,,
R0071,IL-1B,0.3,35.3,,,0.3,57,R0057,24,S/H,S/H 24 HR,Treatment 1,28.46,28.46,35.12,35.12,35.12,,,,35.12,6.66,6.318890333,6.358901475,0.012526348,0.01218372,,0.009888723,0.009888723,,0.955011111,0.835906835,,,,,,,,,
R0072,GFAP,0,26.24,,,0.4,57,R0057,24,S/H,S/H 24 HR,Treatment 1,28.46,28.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0072,IL-1B,0.1,34.75,,,0,58,R0058,24,S/H,S/H 24 HR,Treatment 1,28.19,28.19,34.33,35.27,35,,,,34.86666667,6.676666667,6.335557,6.375568142,0.012382471,0.012043778,,0.009775142,0.009775142,,0.944041873,0.826305626,,,,,,,,,
R0072,IL-1B,0.2,34.71,,,0.1,58,R0058,24,S/H,S/H 24 HR,Treatment 1,28.19,28.19,34.33,34.33,34.33,,,,34.33,6.14,5.798890333,5.838901475,0.017962222,0.01747091,,0.014179987,0.014179987,,1.369443194,1.198652993,,,,,,,,,
R0072,IL-1B,0.3,35.18,,,0.2,58,R0058,24,S/H,S/H 24 HR,Treatment 1,28.19,28.19,35.27,35.27,35.27,,,,35.27,7.08,6.738890333,6.778901475,0.009362501,0.009106412,,0.007391075,0.007391075,,0.713798821,0.624777352,,,,,,,,,
R0073,GFAP,0,27.13,,,0.3,58,R0058,24,S/H,S/H 24 HR,Treatment 1,28.19,28.19,35,35,35,,,,35,6.81,6.468890333,6.508901475,0.011289377,0.010980583,,0.008912217,0.008912217,,0.860704205,0.753361422,,,,,,,,,
R0073,IL-1B,0.1,33.32,,,0.4,58,R0058,24,S/H,S/H 24 HR,Treatment 1,28.19,28.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0073,IL-1B,0.2,33.98,,,0,59,R0059,48,N,N 48 HR,Control 2,27.52,27.52,33.82,34.37,34.11,,,,34.1,6.58,6.58,6.58,0.010452559,0.010452559,,0.010452559,0.010452559,,0.011652981,0.726133917,,,,,,,,,
R0073,IL-1B,0.3,34.3,,,0.1,59,R0059,48,N,N 48 HR,Control 2,27.52,27.52,33.82,33.82,33.82,,,,33.82,6.3,6.3,6.3,0.012691444,0.012691444,,0.012691444,0.012691444,,0.01414899,0.881668087,,,,,,,,,
R0074,GFAP,0,26.59,,,0.2,59,R0059,48,N,N 48 HR,Control 2,27.52,27.52,34.37,34.37,34.37,,,,34.37,6.85,6.85,6.85,0.008668512,0.008668512,,0.008668512,0.008668512,,0.009664045,0.60219705,,,,,,,,,
R0074,IL-1B,0.1,33.59,,,0.3,59,R0059,48,N,N 48 HR,Control 2,27.52,27.52,34.11,34.11,34.11,,,,34.11,6.59,6.59,6.59,0.010380358,0.010380358,,0.010380358,0.010380358,,0.011572488,0.721118143,,,,,,,,,
R0074,IL-1B,0.2,34.2,,,0.4,59,R0059,48,N,N 48 HR,Control 2,27.52,27.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0074,IL-1B,0.3,34.45,,,0,60,R0060,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.43,27.43,33.79,34.54,34.1,,,,34.14333333,6.713333333,6.713333333,6.713333333,0.009529833,0.009529833,,0.009529833,0.009529833,,0.0084103,0.414434594,,,,,,,,,
R0075,GFAP,0,27.37,,,0.1,60,R0060,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.43,27.43,33.79,33.79,33.79,,,,33.79,6.36,6.36,6.36,0.012174447,0.012174447,,0.012174447,0.012174447,,0.010744233,0.529443879,,,,,,,,,
R0075,IL-1B,0.1,34.33,,,0.2,60,R0060,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.43,27.43,34.54,34.54,34.54,,,,34.54,7.11,7.11,7.11,0.007238969,0.007238969,,0.007238969,0.007238969,,0.006388559,0.314809214,,,,,,,,,
R0075,IL-1B,0.2,35.05,,,0.3,60,R0060,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.43,27.43,34.1,34.1,34.1,,,,34.1,6.67,6.67,6.67,0.009820417,0.009820417,,0.009820417,0.009820417,,0.008666747,0.427071542,,,,,,,,,
R0075,IL-1B,0.3,34.32,,,0.4,60,R0060,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.43,27.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0076,GFAP,0,27,,,0,61,R0061,24,RV (P10),RV (P10) 24 HR,Treatment 1,25.89,25.89,32.73,32.57,32.87,,,,32.72333333,6.833333333,6.492223667,6.532234808,0.011108257,0.010804418,,0.008769235,0.008769235,,0.84689563,0.741274983,,,,,,,,,
R0076,IL-1B,0.1,33.35,,,0.1,61,R0061,24,RV (P10),RV (P10) 24 HR,Treatment 1,25.89,25.89,32.73,32.73,32.73,,,,32.73,6.84,6.498890333,6.538901475,0.011057045,0.010754606,,0.008728806,0.008728806,,0.842991169,0.737857468,,,,,,,,,
R0076,IL-1B,0.2,34.14,,,0.2,61,R0061,24,RV (P10),RV (P10) 24 HR,Treatment 1,25.89,25.89,32.57,32.57,32.57,,,,32.57,6.68,6.338890333,6.378901475,0.012353894,0.012015983,,0.009752582,0.009752582,,0.941863191,0.824398659,,,,,,,,,
R0076,IL-1B,0.3,33.96,,,0.3,61,R0061,24,RV (P10),RV (P10) 24 HR,Treatment 1,25.89,25.89,32.87,32.87,32.87,,,,32.87,6.98,6.638890333,6.678901475,0.01003448,0.009760011,,0.007921558,0.007921558,,0.765030634,0.669619786,,,,,,,,,
R0077,GFAP,0,28.46,,,0.4,61,R0061,24,RV (P10),RV (P10) 24 HR,Treatment 1,25.89,25.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0077,IL-1B,0.1,35.65,,,0,62,R0062,24,RV (P10),RV (P10) 24 HR,Treatment 1,27.7,27.7,34.22,34.65,34.6,,,,34.49,6.79,6.448890333,6.488901475,0.011446971,0.011133867,,0.009036626,0.009036626,,0.872719188,0.763877955,,,,,,,,,
R0077,IL-1B,0.2,36.06,,,0.1,62,R0062,24,RV (P10),RV (P10) 24 HR,Treatment 1,27.7,27.7,34.22,34.22,34.22,,,,34.22,6.52,6.178890333,6.218901475,0.013802847,0.013425304,,0.010896435,0.010896435,,1.052331629,0.921090018,,,,,,,,,
R0077,IL-1B,0.3,35.56,,,0.2,62,R0062,24,RV (P10),RV (P10) 24 HR,Treatment 1,27.7,27.7,34.65,34.65,34.65,,,,34.65,6.95,6.608890333,6.648901475,0.010245326,0.00996509,,0.008088007,0.008088007,,0.781105554,0.683689921,,,,,,,,,
R0078,GFAP,0,28.46,,,0.3,62,R0062,24,RV (P10),RV (P10) 24 HR,Treatment 1,27.7,27.7,34.6,34.6,34.6,,,,34.6,6.9,6.558890333,6.598901475,0.010606626,0.010316508,,0.00837323,0.00837323,,0.808651181,0.707800194,,,,,,,,,
R0078,IL-1B,0.1,35.19,,,0.4,62,R0062,24,RV (P10),RV (P10) 24 HR,Treatment 1,27.7,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0078,IL-1B,0.2,34.15,,,0,63,R0063,24,RV (P10),RV (P10) 24 HR,Treatment 1,27.13,27.13,35.32,36.03,34.88,,,,35.41,8.28,7.938890333,7.978901475,0.004075265,0.003963796,,0.003217152,0.003217152,,0.310698983,0.271950138,,,,,,,,,
R0078,IL-1B,0.3,35.09,,,0.1,63,R0063,24,RV (P10),RV (P10) 24 HR,Treatment 1,27.13,27.13,35.32,35.32,35.32,,,,35.32,8.19,7.848890333,7.888901475,0.004337591,0.004218947,,0.003424241,0.003424241,,0.330698733,0.289455618,,,,,,,,,
R0079,GFAP,0,28.54,,,0.2,63,R0063,24,RV (P10),RV (P10) 24 HR,Treatment 1,27.13,27.13,36.03,36.03,36.03,,,,36.03,8.9,8.558890333,8.598901475,0.002651657,0.002579127,,0.002093308,0.002093308,,0.202162795,0.176950049,,,,,,,,,
R0079,IL-1B,0.1,35.48,,,0.3,63,R0063,24,RV (P10),RV (P10) 24 HR,Treatment 1,27.13,27.13,34.88,34.88,34.88,,,,34.88,7.75,7.408890333,7.448901475,0.005884394,0.005723441,,0.00464534,0.00464534,,0.448627332,0.392676744,,,,,,,,,
R0079,IL-1B,0.2,35.11,,,0.4,63,R0063,24,RV (P10),RV (P10) 24 HR,Treatment 1,27.13,27.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0079,IL-1B,0.3,35.28,,,0,64,R0064,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.61,27.61,33.08,32.71,33.24,,,,33.01,5.4,5.4,5.4,0.023683071,0.023683071,,0.023683071,0.023683071,,0.020900862,1.029932416,,,,,,,,,
R0080,GFAP,0,28.38,,,0.1,64,R0064,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.61,27.61,33.08,33.08,33.08,,,,33.08,5.47,5.47,5.47,0.022561394,0.022561394,,0.022561394,0.022561394,,0.019910955,0.981152755,,,,,,,,,
R0080,IL-1B,0.1,35.19,,,0.2,64,R0064,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.61,27.61,32.71,32.71,32.71,,,,32.71,5.1,5.1,5.1,0.029157281,0.029157281,,0.029157281,0.029157281,,0.025731979,1.26799554,,,,,,,,,
R0080,IL-1B,0.2,35.01,,,0.3,64,R0064,96,RV (P7) ,RV (P7) 96 HR,Treatment 3,27.61,27.61,33.24,33.24,33.24,,,,33.24,5.63,5.63,5.63,0.020193013,0.020193013,,0.020193013,0.020193013,,0.017820804,0.878156314,,,,,,,,,
