Pup_ID,Slide_Number,SlideNumber,Surg_Grp,PerfusionPoint,Wgt,Lngth_cm,Sex,Sex_Num,Pinchresponse,Pinch_Response/Activity,Response_Num
MH247,1247,247,N,48 HR,6.029,8.9,M,0,M,Mid,3
MH248,1248,248,N,48 HR,6.627,8.9,M,0,R,Active,5
MH249,1249,249,N,48 HR,6.63,8.9,F,1,R,Active,5
MH250,1250,250,N,48 HR,5.614,8.8,F,1,R,Active,5
MH251,1251,251,N,48 HR,6.503,9.5,M,0,M,Mid,3
MH252,1252,252,N,48 HR,3.592,6.9,M,0,R,Active,5
MH253,1253,253,S/H,48 HR,4.029,7.5,M,0,R,Hyper,5
MH254,1254,254,S/H,48 HR,3.637,7.3,F,1,M,Mid,3
MH255,1255,255,S/H,48 HR,3.657,6.7,M,0,L,Lathargic,1
MH256,1256,256,S/H,48 HR,3.129,6.6,M,0,L,Lathargic,1
MH257,1257,257,S/H,48 HR,2.851,6,M,0,L,Lathargic,1
MH260,1260,260,N,48 HR,8.149,9.3,F,1,R,Active,5
MH261,1261,261,N,48 HR,7.215,9.7,F,1,L,Lathargic,1
MH262,1262,262,N,48 HR,6.391,8.9,M,0,R,Active,5
MH263,1263,263,N,48 HR,6.714,8.7,F,1,R,Active,5
MH264,1264,264,N,48 HR,6.787,8.8,M,0,R,Active,5
MH265,1265,265,N,48 HR,7.83,8.7,F,1,R,Active,5
MH266,1266,266,N,48 HR,7.149,9.3,F,1,L,Lethargic,1
MH267,1267,267,N,48 HR,6.984,8.9,F,1,R,Active,5
MH268,1268,268,N,48 HR,6.564,8.9,M,0,R,Active,5
MH269,1269,269,N,48 HR,6.758,8.1,M,0,L,Lethargic,1
MH270,1270,270,N,48 HR,6.294,8.4,M,0,R,Active,5
MH271,1271,271,N,48 HR,7.164,9.2,F,1,R,Active,5
MH272,1272,272,N,48 HR,6.74,9.1,F,1,R,Active,5
MH273,1273,273,L/H,48 HR,3.482,7.8,M,0,R,Hyper Active,5
MH274,1274,274,L/H,48 HR,3.859,7.2,F,1,R,Hyper Active,5
MH275,1275,275,L/H,48 HR,4.939,7.6,M,0,L,Lethargic,1
MH276,1276,276,L/H,48 HR,4.009,7.2,M,0,R,Active,5
MH277,1277,277,L/H,48 HR,3.715,6.9,M,0,L,Lethargic,1
MH278,1278,278,L/H,48 HR,4.563,7.4,M,0,L,Lethargic,1
MH279,1279,279,L/H,48 HR,3.918,6.9,M,0,L,Lethargic,1
MH280,1280,280,L/H,48 HR,3.049,6.4,M,0,L,Sedate,1
MH282,1282,282,N,48 HR,7.15,9.2,F,1,R,Active,5
RV501,1501,501,RV 10,48 HR,6.4311,8.4,M,0,R,Reactive,5
MH290,1290,290,RV 10,48 HR,5.7257,7.4,M,0,R,Reactive,5
RV503,1503,503,RV 10,48 HR,6.233,N/A,M,0,R,Reactive,5
RV504,1504,504,RV 10,48 HR,6.4696,N/A,M,0,R,Reactive,5
RV505,1505,505,RV 10,48 HR,6.161,N/A,M,0,R,Reactive,5
MH292,1292,292,RV 10,48 HR,5.6655,7.2,M,0,R,Reactive,5
RV507,1507,507,RV 10,48 HR,5.7762,N/A,F,1,R,Reactive,5
MH291,1291,291,RV 10,48 HR,6.4001,8,F,1,R,Reactive,5
MH296,1296,296,RV 10,48 HR,6.0106,8.2,F,1,R,Reactive,5
MH297,1297,297,RV 10,48 HR,6.71,8.9,M,0,R,Reactive,5
MH295,1295,295,RV 10,48 HR,6.21293,8.3,M,0,R,Reactive,5
RV514,1514,514,RV 10,48 HR,5.9557,8.5,F,1,R,Reactive,5
MH293,1293,293,RV 10,48 HR,6.2219,8.2,F,1,R,Reactive,5
MH294,1294,294,RV 10,48 HR,5.8959,7.9,F,1,R,Reactive,5
MH299,1299,299,RV 10,48 HR,5.7869,7.8,F,1,R,Reactive,5
MH298,1298,298,RV 10,48 HR,5.4336,7.6,M,0,R,Reactive,5
MH300,1300,300,RV 10,48 HR,6.1229,7.6,F,1,R,Reactive,5
MH310,1310,310,L/H,48 HR,1.9128,5.5,M,0,N/A,NR,0
MH311,1311,311,L/H,48 HR,1.57,5.2,F,1,N/A,NR,0
MH312,1312,312,L/H,48 HR,2.58,6.3,M,0,N/A,NR,0
MH313,1313,313,L/H,48 HR,2.149,5.9,M,0,N/A,NR,0
MH314,1314,314,L/H,48 HR,2.549,5.9,M,0,N/A,NR,0
MH315,1315,315,L/H,48 HR,2.333,5.4,F,1,N/A,NR,0
MH316,1316,316,L/H,48 HR,2.213,5.9,M,0,N/A,NR,0
MH317,1317,317,L/H,48 HR,2.273,6,M,0,N/A,NR,0
MH318,1318,318,L/H,48 HR,2.029,5.9,F,1,N/A,NR,0
MH319,1319,319,L/H,48 HR,1.998,5.8,M,0,N/A,NR,0
MH325,1325,325,S/H,48 HR,3.116,6.8,F,1,N/A,NR,0
MH326,1326,326,S/H,48 HR,3.889,7.1,M,0,N/A,NR,0
MH327,1327,327,S/H,48 HR,3.55,6.8,F,1,N/A,NR,0
MH328,1328,328,S/H,48 HR,2.856,7,M,0,N/A,NR,0
MH329,1329,329,S/H,48 HR,2.928,6.5,M,0,N/A,NR,0
MH330,1330,330,S/H,48 HR,2.742,6.4,F,1,N/A,NR,0
MH331,1331,331,S/H,48 HR,3.001,6.75,M,0,N/A,NR,0
MH333,1333,333,S/H,48 HR,2.858,7,M,0,N/A,NR,0
MH334,1334,334,S/H,48 HR,2.122,6.3,M/F,1,N/A,NR,0
MH340,1340,340,L/H,96 HR,3.233,6.75,F,1,L,Lethargic,1
MH341,1341,341,L/H,96 HR,2.968,6.8,M,0,M,Moderate,3
MH342,1342,342,L/H,96 HR,3.211,6.95,M,0,M,Moderate,3
MH343,1343,343,L/H,96 HR,3.306,7.1,F,1,R,Active,5
MH344,1344,344,L/H,96 HR,1.6832,5.7,M,0,,,
MH345,1345,345,L/H,96 HR,2.2162,6.2,M,0,,,
MH346,1346,346,L/H,96 HR,2.5154,6.1,M,0,,,
MH347,1347,347,L/H,96 HR,2.4106,6.2,F,1,,,
MH348,1348,348,L/H,96 HR,2.32,6.4,M,0,,,
MH349,1349,349,N,96 HR,7.01,9.4,F,1,R,Active,5
MH350,1350,350,N,96 HR,7.978,9.6,M,0,R,Active,5
MH351,1351,351,N,96 HR,6.98,9.3,F,1,R,Active,5
MH352,1352,352,N,96 HR,7.805,9.7,M,0,R,Active,5
MH353,1353,353,N,96 HR,6.5459,9.3,M,0,,,
MH354,1354,354,N,96 HR,7.4571,10.3,F,1,,,
MH355,1355,355,N,96 HR,6.7505,9.3,F,1,,,
MH356,1356,356,S/H,96 HR,4.655,7.3,M,0,R,Active,5
MH357,1357,357,S/H,96 HR,3.814,7.2,F,1,R,Active,5
MH358,1358,358,S/H,96 HR,3.998,6.8,M,0,R,Active,5
MH359,1359,359,S/H,96 HR,3.172,6.4,F,1,R,Active,5
MH360,1360,360,S/H,96 HR,3.8125,7.5,M,0,L,Lethargic,1
MH361,1361,361,S/H,96 HR,4.3073,7.3,M,0,L,Lethargic,1
MH362,1362,362,S/H,96 HR,4.0906,7.4,M,0,L,Lethargic,1
MH363,1363,363,S/H,96 HR,2.5626,6.5,M,0,L,Lethargic,1
MH364,1364,364,S/H,96 HR,3.1518,6.8,M,0,L,Lethargic,1
MH365,1365,365,L-S/N,96 HR,3.7593,6.5,M,0,R,Active,5
MH366,1366,366,L-S/N,96 HR,3.8017,6.6,M,0,R,Active,5
MH367,1367,367,L-S/N,96 HR,3.3996,6.9,M,0,R,Active,5
MH368,1368,368,L-S/N,96 HR,3.3747,6,M,0,R,Active,5
MH369,1369,369,L-S/N,96 HR,3.4571,6.1,M,0,R,Active,5
MH370,1370,370,L-S/N,96 HR,3.8012,6.5,M,0,R,Active,5
MH371,1371,371,L-S/N,96 HR,3.5591,6.4,M,0,R,Active,5
MH372,1372,372,L-S/N,96 HR,3.6463,6.4,M,0,R,Active,5
MH373,1373,373,L-S/N,96 HR,3.9176,6.6,M,0,R,Active,5
MH374,1374,374,L-S/N,96 HR,3.6194,6.4,M,0,R,Active,5
MH375,1375,375,L-S/N,96 HR,4.2178,6.7,M,0,R,Active,5
MH376,1376,376,L-S/N,96 HR,3.7785,6.3,M,0,R,Active,5
MH377,1377,377,L-S/N,96 HR,4.1109,6.7,M,0,R,Active,5
MH378,1378,378,L-S/N,96 HR,3.6974,6.2,M,0,R,Active,5
,1,,,#N/A,,,,,,,
MH380,1380,380,L/N,48 HR,5.0528,7.2,M,0,R,Active,5
MH381,1381,381,L/N,48 HR,4.8018,7.5,M,0,R,Active,5
MH382,1382,382,L/N,48 HR,4.8875,7.2,M,0,R,Active,5
MH383,1383,383,L/N,48 HR,4.889,7.2,M,0,R,Active,5
MH384,1384,384,L/N,48 HR,5.3337,7.6,M,0,R,Active,5
MH385,1385,385,L/N,48 HR,4.7588,7.1,M,0,R,Active,5
MH386,1386,386,L/N,48 HR,4.71,7.4,M,0,R,Active,5
,1,,,#N/A,,,,,,,
MH390,1390,390,N,48 HR,6.147,8.4,F,1,R,Active,5
MH391,1391,391,N,48 HR,6.5424,8.5,F,1,R,Active,5
MH392,1392,392,RV 10,48 HR,5.9092,9.2,M,0,R,Active,5
MH393,1393,393,RV 10,48 HR,5.1936,8.8,F,1,R,Active,5
MH394,1394,394,N,48 HR,7.3645,9.4,F,1,R,Active,5
MH395,1395,395,N,48 HR,7.122,9.1,F,1,R,Active,5
,1,,,#N/A,,,,,,,
MH400,1400,400,L/H,24 HR,2.4667,6.3,M,0,M,Moderate,3
MH401,1401,401,L/H,24 HR,2.5743,6.8,F,1,M,Moderate,3
MH402,1402,402,S/H,24 HR,2.9639,6.9,M,0,M,Moderate,3
MH403,1403,403,L/N,24 HR,6.0295,7.8,F,1,R,Active,5
MH405,1405,405,L/N,24 HR,6.2504,8.5,M,0,M,Moderate,3
MH406,1406,406,L/H,48 HR,2.7433,6.4,M,0,R,Active,5
MH407,1407,407,L/H,48 HR,2.1707,6.2,M,0,R,Active,5
MH408,1408,408,L/H,48 HR,2.8715,6.7,M,0,R,Active,5
MH409,1409,409,L/H,48 HR,2.456,6.4,M,0,R,Active,5
MH410,1410,410,L/H,48 HR,2.2987,6.3,M,0,R,Active,5
MH411,1411,411,S/H,48 HR,2.1672,5.8,M,0,R,Active,5
MH412,1412,412,S/H,48 HR,3.082,6.5,M,0,R,Active,5
MH413,1413,413,S/H,48 HR,3.7192,6.8,M,0,R,Active,5
MH414,1414,414,S/H,48 HR,2.6674,8,M,0,R,Active,5
MH415,1415,415,S/H,48 HR,2.3904,6.2,M,0,R,Active,5
MH416,1416,416,L/N,48 HR,7.154,8.4,M,0,R,Active,5
MH417,1417,417,L/N,48 HR,6.9885,8.3,M,0,R,Active,5
MH418,1418,418,L/N,48 HR,6.8478,8.4,F,1,R,Active,5
,1,,,#N/A,,,,,,,
MH420,1420,420,S/N,24 HR,6.78,8.6,M,0,R,Active,5
MH421,1421,421,S/N,24 HR,6.228,8.3,F,1,R,Active,5
MH422,1422,422,S/N,48 HR,7.0092,8.2,F,1,R,Active,5
MH423,1423,423,S/N,48 HR,7.5331,8.5,M,0,R,Active,5
MH424,1424,424,L/N,24 HR,6.101,8.6,M,0,R,Active,5
MH425,1425,425,L/N,24 HR,5.73,7.9,F,1,L,Lethargic,1
MH426,1426,426,L/N,48 HR,6.3633,8.1,M,0,R,Active,5
MH427,1427,427,L/N,48 HR,6.3622,8.3,M,0,R,Active,5
MH428,1428,428,L/N,48 HR,5.9536,8,M,0,R,Active,5
MH429,1429,429,L/N,48 HR,6.4659,8.2,M,0,R,Active,5
MH430,1430,430,L/N,48 HR,5.6362,7.7,M,0,R,Active,5
MH431,1431,431,L/N,48 HR,6.4628,7.9,M,0,R,Active,5
MH432,1432,432,L/N,48 HR,6.956,8.1,M,0,R,Active,5
MH433,1433,433,L/N,48 HR,5.5982,7.4,F,1,R,Active,5
MH434,1434,434,L/N,96 HR,8.368,9.6,M,0,R,Active,5
MH435,1435,435,L/N,96 HR,8.351,9.8,M,0,M,Moderate,3
MH436,1436,436,L/N,96 HR,8.265,9.3,F,1,R,Active,5
,1,,,#N/A,,,,,,,
MH442,1442,442,RV 10,48 HR,4.6851,7.7,M,0,R,Active,5
MH443,1443,443,RV 10,48 HR,4.7397,7.8,M,0,R,Hyper Active,5
MH444,1444,444,RV 10,48 HR,5.0435,7.7,M,0,R,Hyper Active,5
MH446,1446,446,RV 10,48 HR,4.8756,7.7,F,1,R,Hyper Active,5
,1,,,#N/A,,,,,,,
MH450,1450,450,S/H,24 HR,2.7862,6.25,M,0,A,Active,3
MH451,1451,451,S/H,24 HR,2.2305,6.4,M,0,A,Active,3
MH452,1452,452,S/H,48 HR,2.8492,6.2,M,0,A,Active,3
MH453,1453,453,S/H,48 HR,1.8359,5.3,M/F,1,M,Moderate,3
MH454,1454,454,S/H,24 HR,2.1739,6.7,F,1,A,Active,3
MH455,1455,455,S/H,24 HR,1.9975,6.6,M,0,A,Active,3
MH456,1456,456,S/H,48 HR,1.7484,6,M,0,A,Active,3
MH457,1457,457,S/H,48 HR,1.7353,6.1,M,0,A,Active,3
MH458,1458,458,S/H,48 HR,2.3259,6.4,F,1,A,Active,3
,1,,,#N/A,,,,,,,
MH460,1460,460,L/H,48 HR,2.145,6.6,F,1,L,Lethargic,1
,1,,,#N/A,,,,,,,
MH465,1465,465,L/N,24 HR,6.0921,8.05,F,1,A,Active,3
MH466,1466,466,L/N,24 HR,4.9318,7.9,M,0,A,Active,3
MH467,1467,467,L/N,24 HR,5.8084,8,F,1,A,Active,3
MH468,1468,468,L/N,24 HR,5.5648,7.7,M,0,A,Active,3
MH469,1469,469,L/N,48 HR,5.6173,8.2,M,0,A,Active,3
MH470,1470,470,L/N,48 HR,6.2795,8.75,M,0,A,Active,3
MH471,1471,471,L/N,48 HR,6.6483,8.9,F,1,A,Active,3
MH472,1472,472,L/N,48 HR,5.82,8.1,F,1,A,Active,3
MH473,1473,473,L/N,48 HR,5.3742,8.1,M,0,A,Active,3
MH474,1474,474,L/N,48 HR,6.2826,8.1,F,1,A,Active,3
MH475,1475,475,L/N,96 HR,6.5825,8.9,M,0,A,Active,3
MH476,1476,476,L/N,96 HR,6.43001,9.3,M,0,A,Active,3
MH477,1477,477,L/N,96 HR,7.4907,9.5,F,1,A,Active,3
MH478,1478,478,L/N,96 HR,8.7216,10,M,0,A,Active,3
MH479,1479,479,L/N,96 HR,6.1561,8.5,M,0,A,Active,3
MH480,1480,480,L/H,24 HR,3.7276,7.2,F,1,R,Hyper Active,5
MH481,1481,481,L/H,24 HR,1.6381,5.4,M,0,L,Lethargic,1
MH482,1482,482,L/H,24 HR,3.7192,7.2,F,1,A,Active,3
MH483,1483,483,L/H,48 HR,4.1644,7.4,M,0,R,Hyper Active,5
MH484,1484,484,L/H,48 HR,4.8607,7.7,F,1,R,Hyper Active,5
MH485,1485,485,L/H,48 HR,4.4907,8,F,1,A,Active,3
MH487,1487,487,L/H,96 HR,6.152,8.3,M,0,L,Lethargic,1
MH488,1488,488,L/H,96 HR,3.7089,7.3,F,1,R,Hyper Active,5
MH489,1489,489,L/H,96 HR,3.6684,7.5,F,1,L,Lethargic,1
MH490,1490,490,S/N,48 HR,6.519,8.6,M,0,R,Hyper Active,5
MH491,1491,491,S/N,48 HR,6.2747,8.2,M,0,L,Active,1
MH492,1492,492,S/N,48 HR,4.8529,7.7,F,1,A,Lethargic,3
MH493,1493,493,S/N,48 HR,6.4812,9,M,0,R,Hyper Active,5
MH494,1494,494,S/N,48 HR,6.179,8.4,M,0,A,Active,3
MH495,1495,495,S/N,48 HR,7.5903,9.1,M,0,R,Hyper Active,5
MH496,1496,496,S/N,48 HR,7.0786,8.9,M,0,R,Hyper Active,5
MH486,1486,486,S/N,48 HR,6.288,8,F,1,R,Hyper Active,5
MH498,1498,498,S/N,96 HR,7.715,10.1,M,0,A,Active,3
MH499,1499,499,S/N,96 HR,7.9884,9.9,F,1,A,Active,3
MH500,1500,500,S/N,96 HR,8.6916,10.3,M,0,R,Hyper Active,5
MH501,1501,501,S/N,96 HR,8.339,10.1,M,0,A,Active,3
MH502,1502,502,S/H,24 HR,1.6402,6.1,M,0,R,Hyper Active,5
MH503,1503,503,S/H,24 HR,3.68,6.9,M,0,R,Hyper Active,5
MH504,1504,504,S/H,24 HR,2.0221,6.6,F,1,R,Hyper Active,5
MH505,1505,505,S/H,48 HR,4.1255,7.5,M,0,A,Active,3
MH506,1506,506,S/H,48 HR,1.811,6.1,F,1,A,Active,3
MH507,1507,507,S/H,48 HR,2.4554,6.8,F,1,A,Active,3
MH508,1508,508,S/H,48 HR,3.1156,7.3,M,0,A,Active,3
MH509,1509,509,S/H,48 HR,3.6746,7.4,M,0,A,Active,3
MH510,1510,510,S/H,96 HR,3.0486,7,F,1,L,Lethargic,1
MH511,1511,511,S/H,96 HR,4.5605,7.4,M,0,L,Lethargic,1
MH512,1512,512,S/H,96 HR,3.5431,7.6,F,1,L,Lethargic,1
MH513,1513,513,S/H,96 HR,3.1785,7.6,M,0,L,Lethargic,1
MH514,1514,514,S/H,96 HR,3.0061,7.5,F,1,L,Lethargic,1
MH515,1515,515,RV 7,48 HR,5.9081,7.6,F,1,A,Active,3
MH516,1516,516,RV 7,48 HR,5.8736,7.38,F,1,L,Lethargic,1
